Year,Publication,Model,Paper URL,gAUC,AUC,Logloss,Running Steps,Contributor
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.849405,0.848518,0.506075,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.852076,0.853685,0.479621,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.878957,0.881546,0.44011,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.87889,0.881583,0.437653,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.877829,0.880079,0.442113,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.879046,0.88116,0.444522,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.878973,0.881289,0.438688,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.878682,0.880402,0.444114,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,KDD'21,AOANet,https://dl.acm.org/doi/10.1145/3447548.3467133,0.879087,0.881228,0.439942,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AOANet/AOANet_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,DIN,https://www.kdd.org/kdd2018/accepted-papers/view/deep-interest-network-for-click-through-rate-prediction,0.883526,0.886028,0.43019,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIN/DIN_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,DIEN,https://arxiv.org/abs/1809.03672,0.885625,0.888777,0.425708,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIEN/DIEN_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,DLP-KDD'19,BST,https://arxiv.org/abs/1905.06874,0.884108,0.886424,0.430077,https://github.com/reczoo/BARS/tree/main/ranking/ctr/BST/BST_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,CIKM'20,DMIN,https://dl.acm.org/doi/10.1145/3340531.3412092,0.885636,0.887665,0.424567,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMIN/DMIN_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,DMR,https://ojs.aaai.org/index.php/AAAI/article/view/5346,0.885142,0.887335,0.427744,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMR/DMR_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2023,KDD'23,PPNet,https://arxiv.org/abs/2302.01115,0.87969,0.881667,0.439829,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PPNet/PPNet_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2022,NeurIPS'22,APG_DCNv2,https://arxiv.org/abs/2203.16218,0.87942,0.882007,0.437314,https://github.com/reczoo/BARS/tree/main/ranking/ctr/APG/APG_DCNv2_amazonelectronics_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
