Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7516,0.3735,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.7613,0.3677,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.7625,0.3676,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.7601,0.3687,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.7574,0.3705,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.7627,0.3677,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.7602,0.3688,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.7595,0.3689,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,http://art.yale.edu/file_columns/0001/1132/covington.pdf,0.763,0.3682,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.763,0.3676,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.7649,0.3665,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.7648,0.3667,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.7652,0.3665,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.7597,0.3686,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,CrossNet-V2,https://arxiv.org/abs/2008.13535,0.7625,0.3681,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/CrossNetv2_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.7656,0.3664,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,CIN,https://arxiv.org/pdf/1803.05170.pdf,0.7624,0.3673,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/CIN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.7647,0.3671,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt,https://arxiv.org/abs/1810.11921,0.7624,0.3678,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.7645,0.3668,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt+_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,FiGNN,https://arxiv.org/abs/1910.05552,0.7622,0.3681,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiGNN/FiGNN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,RecSys'19,FiBiNET,https://arxiv.org/abs/1905.09433,0.7645,0.3673,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiBiNET/FiBiNET_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,HFM,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.7621,0.3676,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,HFM+,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.7644,0.3669,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM+_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,AFN,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.7547,0.3729,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,AFN+,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.764,0.3671,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN+_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,CIKM'20,DeepIM,https://dl.acm.org/doi/abs/10.1145/3340531.3412077,0.7645,0.367,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepIM/DeepIM_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,DESTINE,https://arxiv.org/abs/2101.03654,0.7661,0.3661,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DESTINE/DESTINE_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,DLP-KDD'21,MaskNet,https://arxiv.org/abs/2102.07619,0.7643,0.3674,https://github.com/reczoo/BARS/tree/main/ranking/ctr/MaskNet/MaskNet_avazu_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
