Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7804,0.3799,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.7909,0.3736,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.7948,0.3711,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.7925,0.3724,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.784,0.3781,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.7914,0.3733,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.794,0.3715,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2015,CIKM'15,CCPM,http://www.escience.cn/system/download/73676,0.7932,0.3721,https://github.com/reczoo/BARS/tree/main/ranking/ctr/CCPM/CCPM_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.7959,0.3705,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.7957,0.3703,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_avazu_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
