Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7886,0.4609,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.8022,0.4491,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.806,0.4456,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.8055,0.4461,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.8044,0.447,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.8053,0.4459,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.8063,0.4454,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.8056,0.4463,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,http://art.yale.edu/file_columns/0001/1132/covington.pdf,0.8137,0.4382,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.8137,0.4383,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_criteo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
