Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7936,0.4566,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.8078,0.4445,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.8098,0.4419,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.8111,0.4409,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.8073,0.4443,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.8115,0.4404,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.8072,0.4443,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2015,CIKM'15,CCPM,http://www.escience.cn/system/download/73676,0.8077,0.4440,https://github.com/reczoo/BARS/tree/main/ranking/ctr/CCPM/CCPM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,http://art.yale.edu/file_columns/0001/1132/covington.pdf,0.8112,0.4407,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.8129,0.4389,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.8141,0.4378,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.8132,0.4388,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,KDD'16,DeepCrossing,https://www.kdd.org/kdd2016/papers/files/adf0975-shanA.pdf,0.8139,0.4380,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepCrossing/DeepCross_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.8047,0.4468,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.8141,0.4378,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,CIN,https://arxiv.org/pdf/1803.05170.pdf,0.8133,0.4387,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/CIN_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.8144,0.4375,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt,https://arxiv.org/abs/1810.11921,0.8129,0.4390,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.8134,0.4385,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt+_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,FiGNN,https://arxiv.org/abs/1910.05552,0.8141,0.4379,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiGNN/FiGNN_criteo_x4_002,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
