Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.9356,0.3076,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.9671,0.2065,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.9786,0.186,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.9742,0.2073,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.9697,0.2264,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.9804,0.2058,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.9776,0.203,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.9749,0.2004,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,http://art.yale.edu/file_columns/0001/1132/covington.pdf,0.9833,0.1622,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.9841,0.154,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.9841,0.149,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.9842,0.1482,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.9839,0.1527,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.9594,0.2715,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,CrossNet-V2,https://arxiv.org/abs/2008.13535,0.9729,0.2216,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/CrossNetv2_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.9845,0.1491,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,CIN,https://arxiv.org/pdf/1803.05170.pdf,0.9782,0.2352,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/CIN_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.9845,0.1466,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt,https://arxiv.org/abs/1810.11921,0.9831,0.1637,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_frappe_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
