Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.7678,0.5746,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.8304,0.5060,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.8376,0.4974,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.8406,0.4971,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.8175,0.5241,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.8315,0.5048,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.8285,0.5102,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,http://art.yale.edu/file_columns/0001/1132/covington.pdf,0.8501,0.4811,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.8504,0.4852,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.8531,0.4785,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.8515,0.4793,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2016,KDD'16,DeepCrossing,https://www.kdd.org/kdd2016/papers/files/adf0975-shanA.pdf,0.8495,0.4799,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepCrossing/DeepCross_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.8116,0.5283,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.8531,0.4766,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,CIN,https://arxiv.org/pdf/1803.05170.pdf,0.8427,0.4908,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/CIN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.8535,0.4772,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt,https://arxiv.org/abs/1810.11921,0.8436,0.4919,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.8534,0.4773,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt+_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,CIKM'19,FiGNN,https://arxiv.org/abs/1910.05552,0.8472,0.4896,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiGNN/FiGNN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,RecSys'19,FiBiNET,https://arxiv.org/abs/1905.09433,0.8499,0.4814,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FiBiNET/FiBiNET_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,WWW'19,FGCNN,https://arxiv.org/abs/1904.04447,0.8522,0.4801,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FGCNN/FGCNN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,NeuralNets'20,ONN,https://arxiv.org/pdf/1904.12579,0.8498,0.4856,https://github.com/reczoo/BARS/tree/main/ranking/ctr/ONN/ONN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,AFN,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.8426,0.4910,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,AFN+,https://ojs.aaai.org/index.php/AAAI/article/view/5768,0.8489,0.4842,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFN/AFN+_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,AAAI'20,LorentzFM,https://arxiv.org/abs/1911.09821,0.8202,0.5188,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LorentzFM/LorentzFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,AAAI'19,HFM,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.8392,0.4970,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2019,AAAI'19,HFM+,https://ojs.aaai.org//index.php/AAAI/article/view/4448,0.8521,0.4781,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HFM/HFM+_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
2020,WSDM'20,InterHAt,https://dl.acm.org/doi/10.1145/3336191.3371785,0.8459,0.4863,https://github.com/reczoo/BARS/tree/main/ranking/ctr/InterHAt/InterHAt_kkbox_x1,"<a href=""https://arxiv.org/abs/2009.05794"">Zhu et al.</a>"
