Year,Publication,Model,Paper URL,gAUC,AUC,Logloss,Running Steps,Contributor
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.659864,0.74179,0.439771,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.65522,0.738873,0.442923,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.665842,0.745264,0.440147,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.666502,0.745152,0.440012,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.665813,0.74608,0.440783,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.667472,0.746953,0.437494,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.669617,0.747075,0.437683,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.666719,0.746899,0.435692,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,KDD'21,AOANet,https://dl.acm.org/doi/10.1145/3447548.3467133,0.667875,0.74702,0.438034,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AOANet/AOANet_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,DIN,https://www.kdd.org/kdd2018/accepted-papers/view/deep-interest-network-for-click-through-rate-prediction,0.669568,0.749537,0.43212,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIN/DIN_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,DIEN,https://arxiv.org/abs/1809.03672,0.671148,0.750372,0.433049,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIEN/DIEN_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,DLP-KDD'19,BST,https://arxiv.org/abs/1905.06874,0.669039,0.748407,0.433819,https://github.com/reczoo/BARS/tree/main/ranking/ctr/BST/BST_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,CIKM'20,DMIN,https://dl.acm.org/doi/10.1145/3340531.3412092,0.672621,0.750777,0.430187,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMIN/DMIN_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,DMR,https://ojs.aaai.org/index.php/AAAI/article/view/5346,0.66888,0.748489,0.435421,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMR/DMR_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2023,KDD'23,PPNet,https://arxiv.org/abs/2302.01115,0.666808,0.746437,0.437027,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PPNet/PPNet_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2022,NeurIPS'22,APG_DCNv2,https://arxiv.org/abs/2203.16218,0.667191,0.746629,0.439467,https://github.com/reczoo/BARS/tree/main/ranking/ctr/APG/APG_DCNv2_kuaivideo_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
