Year,Publication,Model,Paper URL,gAUC,AUC,Logloss,Running Steps,Contributor
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.672374,0.718639,0.415241,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.673692,0.721519,0.418067,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.685716,0.734555,0.411947,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.685246,0.73367,0.413181,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.685458,0.734198,0.413294,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.685946,0.734367,0.412206,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.688869,0.736228,0.412212,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.684609,0.733822,0.413313,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,KDD'21,AOANet,https://dl.acm.org/doi/10.1145/3447548.3467133,0.685797,0.734644,0.412282,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AOANet/AOANet_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,DIN,https://www.kdd.org/kdd2018/accepted-papers/view/deep-interest-network-for-click-through-rate-prediction,0.688282,0.736006,0.411558,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIN/DIN_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,DIEN,https://arxiv.org/abs/1809.03672,0.68672,0.732075,0.412213,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIEN/DIEN_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,DLP-KDD'19,BST,https://arxiv.org/abs/1905.06874,0.685436,0.73415,0.411837,https://github.com/reczoo/BARS/tree/main/ranking/ctr/BST/BST_microvideo1.7m_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
