Year,Publication,Model,Paper URL,AUC,Logloss,Running Steps,Contributor
2007,WWW'07,LR,https://dl.acm.org/citation.cfm?id=1242643,0.9342,0.3201,https://github.com/reczoo/BARS/tree/main/ranking/ctr/LR/LR_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.9434,0.2729,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,FFM,https://dl.acm.org/citation.cfm?id=2959134,0.9556,0.2422,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FFM/FFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,NIPS'16,HOFM,https://papers.nips.cc/paper/6144-higher-order-factorization-machines.pdf,0.9455,0.2705,https://github.com/reczoo/BARS/tree/main/ranking/ctr/HOFM/HOFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,AFM,http://www.ijcai.org/proceedings/2017/0435.pdf,0.9472,0.2653,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AFM/AFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,SIGIR'17,NFM,https://dl.acm.org/citation.cfm?id=3080777,0.9496,0.2664,https://github.com/reczoo/BARS/tree/main/ranking/ctr/NFM/NFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,WWW'18,FwFM,https://arxiv.org/pdf/1806.03514.pdf,0.9558,0.2426,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FwFM/FwFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.9465,0.2714,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.9678,0.2388,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,ICDM'16,IPNN,https://arxiv.org/pdf/1611.00144.pdf,0.9699,0.2095,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PNN/IPNN_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,DLRS'16,Wide&Deep,https://arxiv.org/pdf/1606.07792.pdf,0.9688,0.2161,https://github.com/reczoo/BARS/tree/main/ranking/ctr/WideDeep/WideDeep_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.9685,0.213,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.9687,0.216,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,CrossNet,https://arxiv.org/abs/1708.05123,0.944,0.279,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/CrossNet_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,CrossNet-V2,https://arxiv.org/abs/2008.13535,0.9606,0.2578,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/CrossNetv2_movielenslatest_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
