Year,Publication,Model,Paper URL,gAUC,AUC,Logloss,Running Steps,Contributor
2010,ICDM'10,FM,https://www.csie.ntu.edu.tw/~b97053/paper/Rendle2010FM.pdf,0.563808,0.623407,0.196925,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FM/FM_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,FmFM,https://arxiv.org/abs/2102.12994,0.571647,0.633517,0.196312,https://github.com/reczoo/BARS/tree/main/ranking/ctr/FmFM/FmFM_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.573269,0.646715,0.193133,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DNN/DNN_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,IJCAI'17,DeepFM,https://arxiv.org/abs/1703.04247,0.569739,0.636426,0.196501,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DeepFM/DeepFM_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,ADKDD'17,DCN,https://arxiv.org/abs/1708.05123,0.573908,0.648805,0.19304,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCN/DCN_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,WWW'21,DCN-V2,https://arxiv.org/abs/2008.13535,0.574892,0.649458,0.192927,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DCNv2/DCNv2_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,xDeepFM,https://arxiv.org/pdf/1803.05170.pdf,0.572884,0.639251,0.195328,https://github.com/reczoo/BARS/tree/main/ranking/ctr/xDeepFM/xDeepFM_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,CIKM'19,AutoInt+,https://arxiv.org/abs/1810.11921,0.574437,0.648629,0.19302,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AutoInt/AutoInt_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,KDD'21,AOANet,https://dl.acm.org/doi/10.1145/3447548.3467133,0.573251,0.650041,0.192513,https://github.com/reczoo/BARS/tree/main/ranking/ctr/AOANet/AOANet_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,KDD'18,DIN,https://www.kdd.org/kdd2018/accepted-papers/view/deep-interest-network-for-click-through-rate-prediction,0.576459,0.652399,0.192445,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIN/DIN_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,AAAI'19,DIEN,https://arxiv.org/abs/1809.03672,0.576916,0.652937,0.19284,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DIEN/DIEN_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,DLP-KDD'19,BST,https://arxiv.org/abs/1905.06874,0.576304,0.651131,0.192842,https://github.com/reczoo/BARS/tree/main/ranking/ctr/BST/BST_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,CIKM'20,DMIN,https://dl.acm.org/doi/10.1145/3340531.3412092,0.577,0.651103,0.192813,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMIN/DMIN_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,DMR,https://ojs.aaai.org/index.php/AAAI/article/view/5346,0.57677,0.652411,0.193055,https://github.com/reczoo/BARS/tree/main/ranking/ctr/DMR/DMR_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2023,KDD'23,PPNet,https://arxiv.org/abs/2302.01115,0.572597,0.647442,0.194488,https://github.com/reczoo/BARS/tree/main/ranking/ctr/PPNet/PPNet_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2022,NeurIPS'22,APG_DCNv2,https://arxiv.org/abs/2203.16218,0.575258,0.649595,0.19288,https://github.com/reczoo/BARS/tree/main/ranking/ctr/APG/APG_DCNv2_taobaoad_x1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
