Year,Publication,Model,Paper URL,Recall@20,Recall@50,NDCG@20,NDCG@50,HitRate@20,HitRate@50,Running Steps,Contributor
2001,WWW'01,ItemCF,https://files.grouplens.org/papers/www10_sarwar.pdf,0.0736,0.1175,0.0606,0.0771,0.3765,0.5234,https://github.com/reczoo/BARS/tree/main/matching/item2item/ItemCF/ItemCF_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2009,UAI'09,MF-BPR,https://arxiv.org/abs/1205.2618,0.0338,0.066,0.0261,0.038,0.2103,0.353,https://github.com/reczoo/BARS/tree/main/matching/cf/MF_BPR/MF_BPR_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2011,ICDM'11,SLIM,https://ieeexplore.ieee.org/document/6137254,0.0755,0.1257,0.0602,0.0791,0.3873,0.5472,https://github.com/reczoo/BARS/tree/main/matching/cf/SLIM/SLIM_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,CIKM'17,GRMF,https://dl.acm.org/doi/10.1145/3132847.3133036,0.0354,,0.027,,,,,"<a href=""https://arxiv.org/abs/2002.02126"">He et al.</a>"
2016,MLSP'16,Item2Vec,https://arxiv.org/abs/1603.04259,0.0326,0.0623,0.0252,0.0361,0.1897,0.3192,https://github.com/reczoo/BARS/tree/main/matching/item2item/Item2Vec/Item2Vec_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.0502,0.0924,0.0388,0.0545,0.2757,0.4354,https://github.com/reczoo/BARS/tree/main/matching/two_tower/YoutubeDNN/YoutubeDNN_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,WWW'17,NeuMF,https://arxiv.org/abs/1708.05031,0.0258,,0.02,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2017,WWW'07,CML,https://scholar.archive.org/work/f3326mghgzcsjagczw6hr5lmce/access/wayback/http://pdfs.semanticscholar.org/61a9/f78bd184c0f95ffcbc10997d6b88a50be2c3.pdf,0.0522,0.0953,0.0428,0.0591,0.284,0.441,https://github.com/reczoo/BARS/tree/main/matching/cf/CML/CML_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,SIGIR'18,CMN,https://arxiv.org/abs/1804.10862,0.0267,,0.0218,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,KDDW'18,GC-MC,https://arxiv.org/abs/1706.02263,0.0288,,0.0224,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,KDD'18,PinSage,https://arxiv.org/abs/1806.01973,0.0282,,0.0219,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,RecSys'18,HOP-Rec,https://dl.acm.org/doi/10.1145/3240323.3240381,0.0309,,0.0232,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,ICLR'18,GAT,https://arxiv.org/abs/1710.10903,0.0326,,0.0235,,,,,"<a href=""https://arxiv.org/abs/2010.12256"">Song et al.</a>"
2018,WWW'18,MultVAE,https://dl.acm.org/doi/10.1145/3178876.3186150,0.0407,,0.0315,,,,,"<a href=""https://arxiv.org/abs/2002.02126"">He et al.</a>"
2019,ICML'19,DisenGCN,https://proceedings.mlr.press/v97/ma19a.html,0.0329,,0.0254,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2019,SIGIR'19,NGCF,https://arxiv.org/abs/1905.08108,0.0344,,0.0263,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2019,NeurIPS'19,MacridVAE,https://papers.nips.cc/paper/2019/file/a2186aa7c086b46ad4e8bf81e2a3a19b-Paper.pdf,0.0383,,0.0295,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2019,WWW'19,EASE^R,https://arxiv.org/abs/1905.03375,0.071,0.1177,0.0567,0.0744,0.371,0.5293,https://github.com/reczoo/BARS/tree/main/matching/cf/EASE_r/EASE_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,TOIS'20,ENMF,http://www.thuir.cn/group/~mzhang/publications/TOIS2020Chen.pdf,0.0359,0.0691,0.0281,0.0404,0.2187,0.3649,https://github.com/reczoo/BARS/tree/main/matching/cf/ENMF/ENMF_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,LR-GCCF,https://ojs.aaai.org/index.php/AAAI/article/view/5330,0.0335,,0.0265,,0.0349,,https://github.com/reczoo/BARS/tree/main/matching/gnn/LR_GCCF/LR_GCCF_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,SIGIR'20,NIA-GCN,https://dl.acm.org/doi/10.1145/3397271.3401123,0.0369,,0.0287,,,,,"<a href=""https://arxiv.org/abs/2010.12256"">Song et al.</a>"
2020,SIGIR'20,LightGCN,https://arxiv.org/abs/2002.02126,0.0411,0.0799,0.0318,0.0461,0.2423,0.4019,https://github.com/reczoo/BARS/tree/main/matching/gnn/LightGCN/LightGCN_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,SIGIR'20,DGCF,http://staff.ustc.edu.cn/~hexn/papers/sigir20-DGCF.pdf,0.0422,,0.0324,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2020,Arixv'20,NGAT4Rec,https://arxiv.org/abs/2010.12256,0.0457,,0.0358,,,,,"<a href=""https://arxiv.org/abs/2010.12256"">Song et al.</a>"
2021,SIGIR'21,SGL-ED,http://staff.ustc.edu.cn/~hexn/papers/sigir21-SGL.pdf,0.0478,,0.0379,,,,,"<a href=""https://arxiv.org/abs/2010.10783"">Wu et al.</a>"
2021,CIKM'21,SimpleX,https://arxiv.org/abs/2109.12613,0.0583,0.1005,0.0468,0.0624,0.303,0.4557,https://github.com/reczoo/BARS/tree/main/matching/cf/SimpleX/SimpleX_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,UltraGCN,https://arxiv.org/abs/2110.15114,0.0681,,0.0556,,,,https://github.com/reczoo/RecZoo/tree/main/matching/gnn/UltraGCN,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,MF-CCL,https://arxiv.org/abs/2109.12613,0.0559,0.0961,0.0447,0.0596,0.2943,0.4427,https://github.com/reczoo/BARS/tree/main/matching/cf/MF_CCL/MF_CCL_amazonbooks_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,GF-CF,https://arxiv.org/abs/2108.07567,0.071,,0.0584,,,,,"<a href=""https://arxiv.org/abs/2108.07567"">Shen et al.</a>"
