Year,Publication,Model,Paper URL,Recall@20,Recall@50,NDCG@20,NDCG@50,HitRate@20,HitRate@50,Running Steps,Contributor
2001,WWW'01,ItemCF,https://files.grouplens.org/papers/www10_sarwar.pdf,0.0639,0.1219,0.0531,0.0746,0.3876,0.5753,https://github.com/reczoo/BARS/tree/main/matching/item2item/ItemCF/ItemCF_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2009,UAI'09,MF-BPR,https://arxiv.org/abs/1205.2618,0.0576,0.1123,0.0468,0.0671,0.3624,0.5577,https://github.com/reczoo/BARS/tree/main/matching/cf/MF_BPR/MF_BPR_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2011,ICMD'11,SLIM,https://ieeexplore.ieee.org/document/6137254,0.0646,0.1213,0.0541,0.0751,0.3912,0.5799,https://github.com/reczoo/BARS/tree/main/matching/cf/SLIM/SLIM_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,MLSP'16,Item2Vec,https://arxiv.org/abs/1603.04259,0.0503,0.0971,0.0411,0.0585,0.3267,0.5114,https://github.com/reczoo/BARS/tree/main/matching/item2item/Item2Vec/Item2Vec_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,WWW'17,CML,https://scholar.archive.org/work/f3326mghgzcsjagczw6hr5lmce/access/wayback/http://pdfs.semanticscholar.org/61a9/f78bd184c0f95ffcbc10997d6b88a50be2c3.pdf,0.0622,0.1181,0.0536,0.0738,0.381,0.551,https://github.com/reczoo/BARS/tree/main/matching/cf/CML/CML_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,WWW'19,EASE^R,https://arxiv.org/abs/1905.03375,0.0657,0.1225,0.0552,0.0762,0.3966,0.5839,https://github.com/reczoo/BARS/tree/main/matching/cf/EASE_r/EASE_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,TOIS'20,ENMF,http://www.thuir.cn/group/~mzhang/publications/TOIS2020Chen.pdf,0.0624,0.1189,0.0515,0.0723,0.3848,0.5792,https://github.com/reczoo/BARS/tree/main/matching/cf/ENMF/ENMF_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,LR-GCCF,https://ojs.aaai.org/index.php/AAAI/article/view/5330,0.0558,,0.0343,,0.0561,,https://github.com/reczoo/BARS/tree/main/matching/gnn/LR_GCCF/LR_GCCF_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,SIGIR'20,LightGCN,https://arxiv.org/abs/2002.02126,0.0653,0.1254,0.0532,0.0756,0.3974,0.5922,https://github.com/reczoo/BARS/tree/main/matching/gnn/LightGCN/LightGCN_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.0686,0.1312,0.0567,0.0798,0.41,0.606,https://github.com/reczoo/BARS/tree/main/matching/two_tower/YoutubeDNN/YoutubeDNN_yelp18_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
